"category_id","parameter_id","is_filter"
78,1844,true
37,1844,true
154,3416,true
342,3416,true
230,4020,true
62,3416,true
60,3570,true
22,3570,true
154,3570,true
325,3570,true
61,3570,true
86,3570,true
37,3570,true
154,3611,true
325,3611,true
20,3265,false
171,3265,false
121,3265,false
83,3266,false
221,3266,false
229,3266,false
83,3267,false
221,3267,false
229,3267,false
83,3268,false
229,3268,false
83,3269,false
221,3269,false
229,3269,false
154,3693,true
78,3733,true
154,3849,true
83,3271,false
221,3271,false
229,3271,false
61,3849,true
62,3849,true
37,3849,true
154,3856,true
62,3878,true
216,3277,false
216,3278,false
216,3279,false
154,3914,true
325,3914,true
61,3914,true
342,3914,true
86,3914,true
72,3914,true
191,3914,true
62,3914,true
78,3914,true
6,3914,true
37,3914,true
11,3961,true
154,3985,true
72,3985,true
61,3993,true
6,3993,true
86,3993,true
62,3993,true
342,4026,true
11,5961,true
37,5961,true
37,5962,true
325,5963,true
342,5963,true
78,5964,true
37,5965,true
6,5966,true
342,5967,true
37,5967,true
62,5968,true
37,5968,true
107,1818,true
108,1818,true
109,1834,true
113,1844,true
50,4020,true
172,4021,true
50,4022,true
152,4022,true
70,868,false
224,868,false
32,868,false
59,4023,true
50,4023,true
123,4024,true
17,4025,true
67,4105,true
83,3325,false
229,3325,false
160,4187,true
47,4187,true
174,4370,true
62,4370,true
42,4435,true
50,4437,true
152,4437,true
40,4460,true
20,3334,false
60,3334,false
228,3334,false
227,3334,false
20,3335,false
103,4721,true
185,4727,true
156,4894,true
157,4894,true
60,3336,false
228,3336,false
227,3336,false
109,4996,true
4,5071,true
124,5109,true
6,5165,true
57,5190,true
17,5190,true
2,5202,true
8,5250,true
169,5306,true
169,5313,true
169,5315,true
170,5330,true
50,5363,true
152,5363,true
67,5374,true
159,5374,true
174,5375,true
106,5446,true
50,5514,true
152,5514,true
207,3347,false
207,3348,false
207,3349,false
53,5514,true
50,5613,true
207,3350,false
14,3351,false
152,5613,true
50,5694,true
152,5694,true
17,5746,true
57,5746,true
32,5967,false
32,4026,false
32,5965,false
32,5962,false
32,5961,false
32,3985,false
2,5199,false
4,5799,true
125,5807,true
156,5809,true
157,5809,true
50,5821,true
152,5821,true
128,5828,true
218,3360,false
218,3361,false
218,3362,false
164,5841,true
42,5841,true
161,5841,true
109,5842,true
109,5849,true
124,5860,true
82,5902,true
110,5928,true
33,5962,true
57,5969,true
17,5969,true
57,5970,true
201,3369,false
199,3369,false
201,3370,false
199,3370,false
201,3371,false
199,3371,false
201,3372,false
199,3372,false
17,5970,true
57,5971,true
17,5971,true
17,5972,true
17,5973,true
3,5974,true
33,5974,true
3,5975,true
3,5976,true
3,5977,true
3,5978,true
3,5979,true
3,5980,true
3,5981,true
3,5982,true
2,5983,true
2,5984,true
115,185,false
227,185,false
2,5985,true
115,187,false
227,187,false
115,188,false
227,188,false
118,189,false
115,189,false
227,189,false
115,191,false
227,191,false
115,192,false
227,192,false
6,5988,true
6,5989,true
50,5990,true
152,5990,true
59,5991,true
150,5992,true
150,5993,true
172,5994,true
172,5995,true
172,5996,true
171,5997,true
107,5998,true
108,5998,true
111,5998,true
111,5999,true
117,6000,true
140,6001,true
46,6001,true
218,3392,false
51,6001,true
140,6002,true
46,6002,true
220,3393,false
220,3394,false
220,3395,false
220,3396,false
220,3397,false
51,6002,true
140,6003,true
53,6003,true
220,3399,false
46,6003,true
220,3400,false
51,6003,true
178,3402,false
178,3403,false
178,3404,false
140,6004,true
53,6004,true
46,6004,true
51,6004,true
140,6005,true
53,6005,true
46,6005,true
51,6005,true
128,6006,true
136,6006,true
160,6007,true
47,6007,true
228,3410,false
37,3410,false
227,3410,false
32,3410,false
50,6008,true
152,6008,true
50,6009,true
152,6009,true
228,3412,false
37,3412,false
227,3412,false
32,3412,false
228,3413,false
50,6010,true
152,6010,true
50,6011,true
37,3413,false
227,3413,false
32,3413,false
228,3414,false
37,3414,false
227,3414,false
32,3414,false
228,3415,false
37,3415,false
227,3415,false
228,3416,false
37,3416,false
227,3416,false
32,3416,false
228,3417,false
37,3417,false
227,3417,false
228,3418,false
37,3418,false
227,3418,false
32,3418,false
228,3419,false
37,3419,false
227,3419,false
32,3419,false
228,3420,false
37,3420,false
152,6011,true
50,6012,true
8,5986,false
152,6012,true
50,6013,true
152,6013,true
227,3420,false
50,6014,true
32,3420,false
228,3421,false
193,283,false
194,283,false
195,283,false
197,283,false
225,283,false
227,283,false
37,3421,false
227,3421,false
32,3421,false
228,3422,false
193,284,false
192,284,false
194,284,false
195,284,false
197,284,false
225,284,false
227,284,false
193,285,false
192,285,false
194,285,false
37,3422,false
227,3422,false
152,6014,true
50,6015,true
152,6015,true
50,6016,true
152,6016,true
50,6017,true
152,6017,true
50,6018,true
152,6018,true
50,6019,true
152,6019,true
50,6020,true
152,6020,true
129,6021,true
156,6021,true
158,6021,true
157,6021,true
156,6022,true
157,6022,true
156,6023,true
157,6023,true
156,6024,true
157,6024,true
156,6025,true
157,6025,true
156,6026,true
157,6026,true
156,6027,true
157,6027,true
156,6028,true
157,6028,true
156,6030,true
157,6030,true
87,6031,true
90,6031,true
89,6031,true
86,6031,true
84,6031,true
88,6031,true
98,6031,true
20,3445,false
87,6032,true
90,6032,true
89,6032,true
84,6032,true
88,6032,true
98,6032,true
20,3449,false
87,6033,true
20,3451,false
20,3452,false
22,3453,false
90,6033,true
89,6033,true
86,6033,true
10,3455,false
84,6033,true
88,6033,true
87,6034,true
90,6034,true
89,6034,true
84,6034,true
88,6034,true
87,6035,true
93,3462,false
96,3462,false
224,3462,false
90,6035,true
89,6035,true
86,6035,true
227,3462,false
95,3462,false
84,6035,true
88,6035,true
93,3463,false
224,3463,false
227,3463,false
39,6036,true
124,6036,true
93,3464,false
96,3464,false
224,3464,false
227,3464,false
124,6037,true
95,3464,false
39,6038,true
124,6038,true
124,6040,true
124,6041,true
33,3466,false
124,6042,true
39,6043,true
124,6043,true
124,6044,true
124,6045,true
124,6046,true
39,6047,true
70,3468,false
33,3468,false
224,3468,false
227,3468,false
32,3468,false
124,6047,true
222,19,false
33,3469,false
227,3469,false
32,3469,false
70,3470,false
33,3470,false
224,3470,false
227,3470,false
32,3470,false
70,3471,false
33,3471,false
224,3471,false
227,3471,false
32,3471,false
124,6048,true
11,19,false
69,3472,false
33,3472,false
124,6049,true
124,6050,true
222,20,false
124,6051,true
33,3473,false
227,3473,false
32,3473,false
124,6052,true
227,3474,false
32,3474,false
227,3475,false
32,3475,false
100,1871,false
70,3476,false
39,6053,true
224,3476,false
227,3476,false
32,3476,false
70,3477,false
33,3477,false
224,3477,false
227,3477,false
124,6053,true
32,3477,false
227,3478,false
32,3478,false
124,6054,true
33,3479,false
124,6055,true
125,6056,true
125,6057,true
33,3480,false
227,3480,false
32,3480,false
125,6058,true
125,6059,true
173,6059,true
21,34,false
125,6060,true
140,6061,true
51,6061,true
21,36,false
140,6062,true
51,6062,true
140,6063,true
51,6063,true
140,6064,true
46,6064,true
51,6064,true
118,6065,true
53,6065,true
140,6066,true
118,6066,true
53,6066,true
140,6067,true
118,6067,true
53,6067,true
118,6068,true
53,6068,true
118,6069,true
53,6069,true
118,6070,true
53,6070,true
140,6071,true
118,6071,true
53,6071,true
118,6072,true
53,6072,true
117,6073,true
