"id","external_id","tekra_key","asbis_key","name_bg","name_en","sort_order","platform","created_at","updated_at","created_by","last_modified_by","is_filter","most_key","filter_order"
5961,,,,Expansion slots,Expansion slots,50,MOST,2026-06-02 09:59:35.377,2026-06-02 09:59:35.377,system,system,true,expansion_slots,
3129,65,,,Интерфейс,Intarface,145,VALI,2026-05-18 11:42:03.092,2026-05-18 11:42:03.092,system,system,true,,
5964,,,,Operating temperature,Operating temperature,50,MOST,2026-06-02 09:59:35.908,2026-06-02 09:59:35.908,system,system,true,operating_temperature,
3132,82,,,Интерфейс,Interface,258,VALI,2026-05-18 11:42:03.283,2026-05-18 11:42:03.283,system,system,true,,
5965,,,,Storage,Storage,50,MOST,2026-06-02 09:59:36.070,2026-06-02 09:59:36.070,system,system,true,storage,
5966,,,,Speed,Speed,50,MOST,2026-06-02 09:59:36.083,2026-06-02 09:59:36.083,system,system,true,speed,
5967,,,,Security,Security,50,MOST,2026-06-02 09:59:36.118,2026-06-02 09:59:36.118,system,system,true,security,
5968,,,,Sensors,Sensors,50,MOST,2026-06-02 09:59:36.347,2026-06-02 09:59:36.347,system,system,true,sensors,
3138,176,,,Интерфейс,Interface,495,VALI,2026-05-18 11:42:03.706,2026-05-18 11:42:03.706,system,system,true,,
3139,194,,,Размери,Dimensions,524,VALI,2026-05-18 11:42:03.748,2026-05-18 11:42:03.748,system,system,false,,
3140,197,,,Консумирана мощност,Power consumption,507,VALI,2026-05-18 11:42:03.771,2026-05-18 11:42:03.771,system,system,false,,
3141,198,,,Операционна система,Operating systems,522,VALI,2026-05-18 11:42:03.779,2026-05-18 11:42:03.779,system,system,false,,
3142,208,,,Цвят,Colour,2336,VALI,2026-05-18 11:42:03.865,2026-05-18 11:42:03.865,system,system,true,,
5969,13,,,Скорост при четене (MB/s),Read (MB/s),21,VALI,2026-06-03 01:02:12.643,2026-06-03 01:02:12.643,system,system,false,,
5970,14,,,Скорост при запис (MB/s),Write (MB/s),22,VALI,2026-06-03 01:02:12.904,2026-06-03 01:02:12.904,system,system,false,,
5971,16,,,Размери (мм),Dimensions (mm),25,VALI,2026-06-03 01:02:13.161,2026-06-03 01:02:13.161,system,system,false,,
5972,21,,,IOPS,IOPS,23,VALI,2026-06-03 01:02:13.487,2026-06-03 01:02:13.487,system,system,false,,
5973,24,,,Кеш памет,Cache (MB),20,VALI,2026-06-03 01:02:13.568,2026-06-03 01:02:13.568,system,system,true,,
5974,26,,,Серия процесори,Series CPU,37,VALI,2026-06-03 01:02:13.588,2026-06-03 01:02:13.588,system,system,true,,
5975,27,,,Работна честота,Operating frequency,40,VALI,2026-06-03 01:02:13.649,2026-06-03 01:02:13.649,system,system,true,,
5976,28,,,Сокет,CPU Socket:,39,VALI,2026-06-03 01:02:13.691,2026-06-03 01:02:13.691,system,system,true,,
5977,29,,,Физически ядра,Core Count,42,VALI,2026-06-03 01:02:13.733,2026-06-03 01:02:13.733,system,system,true,,
5978,30,,,Логически ядра,Thread Count,43,VALI,2026-06-03 01:02:13.754,2026-06-03 01:02:13.754,system,system,true,,
5979,31,,,Кеш памет,Cache,44,VALI,2026-06-03 01:02:13.779,2026-06-03 01:02:13.779,system,system,true,,
5980,32,,,Технология на производството,Manufacturing Tech,45,VALI,2026-06-03 01:02:13.824,2026-06-03 01:02:13.824,system,system,true,,
5981,33,,,Термична мощност - TDP (W),TDP (W),46,VALI,2026-06-03 01:02:13.839,2026-06-03 01:02:13.839,system,system,true,,
5983,44,,,Поддържана памет,Memory Standard,790,VALI,2026-06-03 01:02:14.081,2026-06-03 01:02:14.081,system,system,true,,
5984,45,,,Максимален капацитет поддържана памет,Maximum Memory Supported,791,VALI,2026-06-03 01:02:14.094,2026-06-03 01:02:14.094,system,system,true,,
5985,46,,,Брой слотове памет,Number of Memory Slots,792,VALI,2026-06-03 01:02:14.105,2026-06-03 01:02:14.105,system,system,true,,
5986,55,,,Размер на шината (битове),Memory Bus (bits),117,VALI,2026-06-03 01:02:14.222,2026-06-03 01:02:14.222,system,system,true,,
5987,57,,,Видео изходи,Video outputs,122,VALI,2026-06-03 01:02:14.239,2026-06-03 01:02:14.239,system,system,true,,
3162,282,,,Функции,Features,400,VALI,2026-05-18 11:42:04.342,2026-05-18 11:42:04.342,system,system,true,,
3163,286,,,Интерфейс,Interface,403,VALI,2026-05-18 11:42:04.349,2026-05-18 11:42:04.349,system,system,false,,
5988,60,,,Честота (MHz),Frequency Range,130,VALI,2026-06-03 01:02:14.272,2026-06-03 01:02:14.272,system,system,true,,
5989,61,,,Волтаж,Voltage,131,VALI,2026-06-03 01:02:14.306,2026-06-03 01:02:14.306,system,system,true,,
5990,70,,,Яркост,Brightness,161,VALI,2026-06-03 01:02:14.443,2026-06-03 01:02:14.443,system,system,true,,
3167,300,,,Други,Other,409,VALI,2026-05-18 11:42:04.480,2026-05-18 11:42:04.480,system,system,true,,
3168,301,,,Размери,Dimensions,413,VALI,2026-05-18 11:42:04.493,2026-05-18 11:42:04.493,system,system,false,,
3169,303,,,Материал,Material,717,VALI,2026-05-18 11:42:04.506,2026-05-18 11:42:04.506,system,system,true,,
3170,305,,,Размери,Dimensions,727,VALI,2026-05-18 11:42:04.514,2026-05-18 11:42:04.514,system,system,true,,
3171,308,,,Яркост,Brightness,720,VALI,2026-05-18 11:42:04.518,2026-05-18 11:42:04.518,system,system,true,,
3172,310,,,Други,Other,1629,VALI,2026-05-18 11:42:04.522,2026-05-18 11:42:04.522,system,system,true,,
3173,311,,,Цвят,Colour,726,VALI,2026-05-18 11:42:04.552,2026-05-18 11:42:04.552,system,system,true,,
5991,74,,,Система,System,207,VALI,2026-06-03 01:02:14.474,2026-06-03 01:02:14.474,system,system,true,,
5992,75,,,Тип памет,Type,233,VALI,2026-06-03 01:02:14.479,2026-06-03 01:02:14.479,system,system,true,,
5993,77,,,Клас,Speed Class Rating,234,VALI,2026-06-03 01:02:14.490,2026-06-03 01:02:14.490,system,system,true,,
5994,78,,,Интерфейс,Interface,243,VALI,2026-06-03 01:02:14.503,2026-06-03 01:02:14.503,system,system,true,,
5995,80,,,Свързване,Connection,242,VALI,2026-06-03 01:02:14.517,2026-06-03 01:02:14.517,system,system,true,,
3179,349,,,Волтаж,Voltage,750,VALI,2026-05-18 11:42:04.757,2026-05-18 11:42:04.757,system,system,true,,
3180,350,,,Капацитет,Capacity,751,VALI,2026-05-18 11:42:04.791,2026-05-18 11:42:04.791,system,system,false,,
3181,351,,,Размери (мм),Dimension (mm),755,VALI,2026-05-18 11:42:04.861,2026-05-18 11:42:04.861,system,system,false,,
3182,353,,,Тип аксесоар,Type,742,VALI,2026-05-18 11:42:04.876,2026-05-18 11:42:04.876,system,system,true,,
5996,81,,,Включена мишка.,Mouse Included,249,VALI,2026-06-03 01:02:14.523,2026-06-03 01:02:14.523,system,system,true,,
5997,88,,,Микрофон,Microphone,821,VALI,2026-06-03 01:02:14.536,2026-06-03 01:02:14.536,system,system,true,,
5998,91,,,Скорост на прехвърляне Wi-Fi (Mbps).,Data transfer Wi-Fi (Mbps),354,VALI,2026-06-03 01:02:14.543,2026-06-03 01:02:14.543,system,system,true,,
