# Кандидати за спиране от продажба (manually_hidden) — дребна домакинска техника
# и аксесоарите ѝ. НЕ се изпълняват от скрипт 52 — чакат твоето решение.
#
# Основание: решението от стъпка 2б (скрипт 50) — дребната домакинска техника не
# се предлага. Самите уреди са скрити, но аксесоарите им и част от уредите са
# останали в „Аксесоари за компютри" (35) и „Вентилатори" (12).
#
# product_id	reason
12973	AENO резервни глави за ел. четка за зъби, черни
12987	AENO ADIN1 комплект за иригатор
13041	AENO миещ се MIF филтър за прахосмукачка SC3
13051	AENO резервни глави за ел. четка за зъби, бели
13247	AENO резервни глави за ел. четка за зъби, черни
13248	AENO резервни глави за ел. четка за зъби, бели
13282	AENO калъф за пътуване за ел. четка за зъби
13343	AENO ADB0010G резервни глави 2 бр
13344	AENO ADB0010N резервни глави 2 бр
13411	AENO резервни глави за ел. четка за зъби, бели
13161	AENO ADIN2 комплект за дентален иригатор
13252	AENO ADI0003 накрайници за иригатор
13042	AENO AAP0001S филтър за пречиствател на въздух
13211	EUREKA ролкова четка за прахосмукачка AK10
13219	EUREKA E20 PLUS HEPA филтър 2 бр
13255	EUREKA E20 PLUS ролкова четка 2 бр
13346	EUREKA E20 PLUS кърпи за миене 2 бр
13347	EUREKA E20 PLUS странична четка 4 бр
12941	PRESTIGIO Bolsena електрическа отварачка за вино
12943	PRESTIGIO Nemi електрическа отварачка за вино
12955	PRESTIGIO Maggiore смарт отварачка за вино
18450	Stand fan 48W 40cm — домакински вентилатор на стойка (в „Вентилатори")
18488	Безлопатков вентилатор и пречиствател на въздух, Smart WiFi (в „Вентилатори")
18505	Tower fan с вградена ароматерапия (в „Вентилатори")
18562	Table fan 40W 40cm, механичен (в „Вентилатори")
1745	ARCTIC Fridge 4L — мини хладилник (в „Вентилатори")
1747	ARCTIC Summair 2Go — ръчен преносим вентилатор (заедно с 1746 и 1748)
